id,价格,评价,评价日期,票务类型,评论,,,,
Idt656971939,259,5,2021.11.21,（非法定节假日）黄龙风景名胜区老人门票（60岁以上）,时值金秋，正是黄龙最美丽的季节。黄龙，位于四川省阿坝藏族羌族自治州松潘县境内，以彩池、雪山、峡谷、森林等“四绝”著称于世。而景区内保存完整的大面积地表钙华坡谷，犹如一条金黄色巨龙，盘旋于原始森林和雪山冰峰之间，构成了黄龙的景观特色。泉水从终年积雪的岷山主峰雪宝顶上流下来，自上而下满泻在一层层的钙华彩池中。由于层层跌落，泉水不时地叮咚作响。在秋光的摇曳中，钙华彩池透出赤、橙、黄、绿等颜色，显得格外迷人。,,,,
少数派SIMON,259,5,2021.10.27,黄龙风景名胜区门票+上行索道（成人票）,成熟景区，先乘坐上行索道再游玩，最后下山，服务非常不错，美不胜收。正好赶上前一天下雪，远近山林层林尽染，加强一处处池水五颜六色，不愧是人间瑶池。一步一景，流连忘返，而且恰好游览到五彩池时拨云见日，不枉此行。,,,,
匿名用户,259,5,2021.11.18,黄龙风景名胜区门票+上行索道（成人票）,真的很美哦，很喜欢！五彩池特别漂亮！水的颜色很好看！,,,,
留不住的缘分1,259,5,2021.10.07,黄龙风景名胜区门票（成人票）,各位忠心的提醒一下，上山一定要坐缆车，因为山很高，海拔也很高，坐缆车上去只能坐到2/3的地方，然后还得(děi)爬一节山，下来如果坐缆车的话还得(děi)爬一节走大概1个半小时才能到缆车的地方，所以你下来的话自己都会放弃坐缆车,,,,
happy可可可心,259,3,2021.11.02,黄龙风景名胜区门票+上行索道（成人票）,黄龙风景名胜区，位于四川省阿坝藏族羌族自治州松潘县境内的一个风景名胜区，与九寨沟毗邻，相距100千米。黄龙风景名胜区中有许多彩池，随着周围景色变化和阳光照射角度变化变幻出五彩的颜色，被誉为人间瑶池。最著名的就是五彩池。建议没有去过的是值得游览一次，感受一次大自然赋予人类的美！,,,,
rHn749777940,259,1,2021.10.22,黄龙风景名胜区门票+上行索道（成人票）,非常垃圾这个景点，居然要两百多门票，缆车上去了走一个多小时才到景点，期间一点什么景色都没有，终于到了景点，这些硫钙化池难看的要死，就是那种昏昏黄黄的水洼，像泥洼又像长满难看青苔的水洼，这个海拔虽然不至于高反，但还是会有一点一口气呼吸不到底的感觉。总之，不好玩还贵！,,,,
匿名用户,259,1,2021.10.14,黄龙风景名胜区门票+上行索道（成人票）,奉劝各位千万不要去，特别是30以内的年轻人，去了你会后悔一辈子，多数人都打转了，哈哈哈哈，全是徒步走路，撒子景点哟，都是些树，沟沟坎坎，徒步下来的路途中，听到好几个抱团的人说当不到九寨的三分之一，哈哈哈，我觉得跟海螺沟有得一拼，都差，赶不到其他的任何景区的三分之一，如果没去之前，不想去的，就别去了，去了会后悔的景区，连开水都没得地方接，全程徒步，索道上山了还要走2个小时，下山4个小时，如果下山想做索道，另行收费，我觉得100块都不值，我们四个人，1000块。就当贡献给旅游事业了。一辈子只来一次的景区,,,,
qiqi13147,259,4,2021.09.07,黄龙风景名胜区门票+上行索道票(成人票）,从九寨沟过来的，玩完九寨沟玩黄龙。虽然九寨沟名气更大，但是我觉得黄龙更值得～因为这边的各种池子更多更好看，而九寨沟只有一个五彩池，太小了。喜欢看五彩池的一定要来黄龙。而且黄龙比较不累，坐索道上去，然后步行到参观五彩池大概2600米吧，然后看完五彩池就开始一路走下山，真正的重头戏都在下山的路上，会经过图一中的那么多池子，每一个池子都比山顶上那个五彩池要好看，全程3.5小时下来，我的软件记录我走了10公里多点～,,,,
盈盈诗,259,4,2021.11.06,黄龙风景名胜区门票+上行索道（成人票）,这个季节来看见大雪是很幸福！但是因为下雪也是枯水期水不是特别大！夏天来应该特别漂亮！,,,,
xlH627678612,259,5,2021.10.24,黄龙风景名胜区门票（成人票）,非常非常美，强烈推荐。原来有当地人说，玩过九寨沟就可以不去黄龙，然而，到了黄龙，发现其美景之奇幻、壮观比九寨沟有过之无不及。推荐缆车上山，然后顺景点栈道下山，一路畅游，沿途景点一个接受一个，。美不胜收,,,,
QIN117508040,259,5,2021.11.03,黄龙风景名胜区门票+上行索道（成人票）,非常满意的一次购票旅游一生必须去一次的旅游,,,,
ximalayaaa,259,4,2021.10.25,黄龙风景名胜区门票（非法定节假日60岁以上老人票）,在美团上购买门票实在是太方便了。即便是60岁以上的人也可以在这里购买，索道票也可以购买，最好是门票与索道票一块购买，这样到了这样景区就可以直接去乘坐索道了。在旅游旺季一定要记得提前购买哦。现在是淡季，当天购买也是可以的。,,,,
桐睿678,259,1,2021.10.30,黄龙风景名胜区门票+上行索道（成人票）,点都不好耍，还有高原反应。全是爬山！坐了缆车 全程走路！也没有什么风景可看！太不科学了！去了一次再不会去了 九寨沟好看些,,,,
ije483024333,259,2,2021.07.24,黄龙风景名胜区门票+上行索道票（残疾人士）,我们是坐索道直达山顶，然后走了很长一段栈道才到五彩池，据说五彩池是海拔最高的，有3900多米吧，刚开始担心会有高反，结果一上去什么感觉都没有，山顶上虽然烈日高照，但气温仍然很低，需要加上薄外套，走在山间明显感觉空气很新鲜，传说在观景台可以看到对面山上的雪景，遗憾的是我们去的时候是七月份，早已没有雪景，继续往前走就到黄龙寺，黄龙寺后面就是鼎鼎有名的五彩池，彩池五颜六色，其中鹅黄色和蓝色居多，顺着彩池往下走就是剩下的景点，也是返程的路，其实所有的景点都集中在一条沟里，个人觉得只有五彩池、金沙铺地、莲台飞瀑、飞瀑流辉还有点意思，其他景点都没什么好看的，除了欣赏大山里的美景，呼吸新鲜空气，徒步旅行、沿途看风景以外其他都没什么好玩的，还有就是景区停车场倒是很多、很大、很方便，唯一不足的就是景区大门入口和出口是同一道门，如果要坐索道上山，车停好了上去倒是很方便，但是步行下山的话距离你停车的地方可能就要走两三公里路了，建议景区游玩时间不要太长，也就两三个小时吧！,,,,
匿名用户,259,5,2021.10.04,黄龙风景名胜区门票+上行索道（成人票）,十月一去的，人有点多，不过景色很不错。上去的时候坐的缆车，下行的时候走下来的，一路的风景，特别推荐黄龙洞，感受大自然的鬼斧神工，建议进黄龙洞穿雨鞋雨衣，里面一直在滴水，进去最好结伴进去，不建议一个人进去,,,,
krO402989049,259,4,2021.10.17,黄龙风景名胜区门票+上行索道（成人票）,揽车上顶，徒步下山4小时，不累。风景是真的好！值…,,,,
五月繁花,259,5,2021.10.21,黄龙风景名胜区门票+上行索道（成人票）,太值得了,,,,
匿名用户,259,1,2021.10.04,黄龙风景名胜区门票+上行索道（成人票）,其实根本没有必要坐缆车，步行上去只要一会儿就可以看到那个黄色的长瀑布了，这黄龙景区为了推广说什么五彩池啊，真的是垃圾中的垃圾，真的不咋滴。      排队排了三个小时等缆车，然后上去要走很远，到了这边有一个可以直接下去看下面的黄色瀑布的路故意给封住了，应该是故意让人往前走，而是往五彩池的方向，然而五彩池完全是坑人的，根本不好看，再从五彩池下来至少多走两个小时的路，一天下来人累的很，回来又遇到限流（据另一边反方向马路上的车说的），在路上等了三个多小时。建议不是相当有闲情的人不要去，锻炼身体选个别的去处吧，累死人不讨好。我们几个上完这个山直接累的走不动了，再别说玩别的地方了，第二天直接离开九寨沟去成都了。,,,,
王源的薄荷音,259,3,2021.11.03,黄龙风景名胜区门票+上行索道（成人票）,人太多 还是淡季去的好 人少 风景还不错,,,,
头不痛的薛,259,5,2021.08.25,黄龙风景名胜区门票+上行索道票（学生票）,早上从九寨沟口坐客车去的黄龙，好像是十点多到的，坐缆车直接上到山顶，然后一路边走边看，感觉时间有4.5个小时就足够了.我感觉海拔还可以，上到最高处也没有什么不良反应.来黄龙自然就是观看一下喀斯特地貌.但我印象中黄龙四宝是彩池，雪山，峡谷，森林，可唯独雪山没看到，也不知道是不是因为坐的客车没走那趟线，感觉有点遗憾吧.有机会下回再来，哈哈.,,,,
epp731470944,259,5,2021.10.22,黄龙风景名胜区门票+上行索道票（学生票）,服务很好，推荐大家购买，可以放心。千百年来，九寨沟隐藏在川西北高原的崇山峻岭中，人类的活动显得微不足道。本区藏民几乎与世隔绝，过着自给自足的农牧生活。由于山高路远，九寨沟一向鲜为人知,,,,
哒哒84,259,4,2021.10.06,黄龙风景名胜区门票+上行索道（成人票）,令色很不错，但是走路，适合登山爱好者！一般老年人还是慎重选择，毕竟上下8公里左右的山路，让你的小腿打颤……,,,,
IRJ428493227,259,5,2021.11.01,黄龙风景名胜区门票+上行索道（成人票）,黄龙很美,,,,
留不住的缘分1,259,5,2021.10.07,黄龙风景名胜区门票（青少年票）,上山一定要坐缆车，要不然你会后悔的，爬山很累，不是一般的累,,,,
JAH593574750,259,5,2021.10.03,黄龙风景名胜区门票+上行索道（成人票）,黄龙风景值得一看，先坐索道，然后走下来，一路欣赏美景,,,,
QIm456644215,259,3,2021.12.03,黄龙风景名胜区门票+上行索道（成人票）,还行吧总体还是比较满意，感觉不是很好，走累了木有休息地方,,,,
_qq6ch1406809902,259,5,2021.10.05,黄龙风景名胜区门票+上行索道（成人票）,非常漂亮，非常值得一去，下次带上家人再来,,,,
嘉布莉,259,5,2021.10.21,黄龙风景名胜区门票+上行索道（成人票）,相较于九寨沟，黄龙的自由度更高，可以自行游览。坐缆车上去之后就自由步行游览。景色非常好，空气超好。推荐九寨黄龙一起游览！九寨黄龙相较之下，感觉更喜欢黄龙，一是自由度更高，二是人少且舒服。以后有机会应该会再去。黄龙和九寨之间的路途也超美！,,,,
月亮不圆路路,259,5,2021.10.08,黄龙风景名胜区门票+上行索道（成人票）,值得，特别适合散心游玩,,,,
游泳的鱼1063,259,3,2021.10.04,黄龙风景名胜区门票+上行索道（成人票）,还不错，去的当天天气很好，景区很干净，五彩池很漂亮，景区卫生间挺多的，因为疫情，今年游客不算多，所以不算挤。,,,,
茹亚力,259,4,2021.11.30,黄龙风景名胜区门票+上行索道票(成人票）,非常漂亮,,,,
ydK896141985,259,4,2021.10.08,黄龙风景名胜区门票+上行索道（成人票）,服务态度好，环境优美，强烈推荐,,,,
gxG819019453,259,4,2021.11.22,黄龙风景名胜区门票（成人票）,黄龙山上没有地方可以接热水喝，渴死了,,,,
MRh451340218,259,4,2021.11.15,黄龙风景名胜区门票+上行索道票(成人票）,风景很美。值得观赏。就是保安太差劲了。乱收费。胡搅蛮缠。太过份了。天杀的保安。,,,,
匿名用户,259,5,2021.08.12,黄龙风景名胜区门票+上行索道（成人票）,索道上山，走一段大约两公里的平缓木道可到徒步登山处，然后上山大约15分钟到达五彩池，海拔较高，根本走不动，女儿到此不走了，买点吃的坐着等我俩，。五彩池的美需要太阳配合，我们到的时候太阳还行，拍了很多美景。然后一路下上风景简直了。不负我们跋涉十几个小时的山路来到这里。,,,,
gaofushuai111,259,5,2021.11.22,黄龙风景名胜区门票+上行索道（成人票）,不错的，可以不去九寨沟了。,,,,
桐睿678,259,1,2021.10.30,黄龙风景名胜区门票+上行索道票（青少年票）,坐个缆车要排队一两个小时，人挤人这样排队！到了山上又是走步行道几公里！我真的服了！收那么贵的门票 我看了个寂寞！八辈子不会来了,,,,
sNi448986552,259,5,2021.09.27,黄龙风景名胜区门票（成人票）,太美了，不虚此行。,,,,
匿名用户,259,5,2021.09.24,黄龙风景名胜区门票+上行索道票(成人票）,黄龙和九寨是不一样的美。真的太美了！,,,,
IEq849057152,259,3,2021.11.05,黄龙风景名胜区门票+上行索道（成人票）,值得一游。梯步全是木头的，不伤膝盖。独特的地貌特征，是少有的。公共设施比如厕所也好找。,,,,
沫兮c,259,5,2021.09.25,黄龙风景名胜区门票（成人票）,很漂亮的风景，从正门走上去，缆车坐下来的！,,,,
匿名用户,259,3,2021.11.16,黄龙风景名胜区门票+上行索道（成人票）,「迎宾池」「五彩池」「飞瀑流辉」「洗身洞」值得推荐,,,,
匿名用户,259,5,2021.09.17,黄龙风景名胜区门票（成人票）,去的时候天气不太好，所以照片效果不好，实际上还是很漂亮的，有索道直接上山，再步行游览下山，对运动不佳的人很友好。,,,,
ypk930376650,259,5,2021.10.30,黄龙风景名胜区门票+上行索道票（成人票）,风景很美游玩轻松。,,,,
宋奈,259,3,2021.09.26,黄龙风景名胜区门票+上行索道（成人票）,好看倒是还不错。就是真的太累了。观光车还没开放，因为还在修建，只能缆车上去，走下来。有点高反,,,,
宋奈,259,3,2021.09.26,黄龙风景名胜区门票+上行索道（成人票）,我真的太累了，腿儿都直了，还高反。还好有我可爱的曹爸爸拉着我。一路走下来两个小时吧。,,,,
亲爱的王先生wy,259,5,2021.10.03,黄龙风景名胜区门票（成人票）,好玩是好玩，就是有点费脚,,,,
wh今天天气不错,259,2,2021.11.07,黄龙风景名胜区门票+上行索道（成人票）,景色很单调，累的要死，全是在爬上爬下,,,,
小熊熊6811,259,2,2021.10.02,黄龙风景名胜区门票（青少年票）,我真的是服了啊，从山下爬到山上非常累，本以为到了山顶就是缆车，结果还要走3.2公里到缆车乘坐点。来玩的话最好是坐缆车上山然后下山看景点，不然你真的累死！！！,,,,
快乐虹200888,259,5,2021.10.23,黄龙风景名胜区门票（成人票）,出票快，景色优美，索道上，我们昨天去下雪了，周围雪景映衬着五彩池很美，一路上的景色优美，不虚此行,,,,
kGe522127083,259,1,2021.10.12,黄龙风景名胜区门票+上行索道（成人票）,景区内的池子确实罕见，从索道到五彩池的距离走了好几公里，晚上到酒店大人孩子直接高反，头疼呕吐，景区为什么不开通观光车,,,,
xro730731735,259,4,2021.09.10,黄龙风景名胜区门票+上行索道票（青少年票）,景区很美，邂逅了小动物，如松鼠，美丽的小鸟等，下雨，路滑，注意安全。,,,,
XQr518337650,259,2,2021.11.01,黄龙风景名胜区门票+上行索道（成人票）,季节是6月份去的，水不是很大，还行吧,,,,
天外来客6439,259,5,2021.10.25,黄龙风景名胜区门票+上行索道（成人票）,黄龙风景区的海子是最有特色的，每个海子颜色都不同，海子错落有致非常漂亮。,,,,
想拥抱你和未来,259,4,2021.09.19,黄龙风景名胜区门票+上行索道（成人票）,总体不错哟,,,,
古夏SIX,259,2,2021.10.06,黄龙风景名胜区门票（成人票）,景区规划不好，这个季节的风景也不太行。坐5分钟索道上山，走1个半小时到五彩池，然后2个小时走下山，感觉十分不值。小松鼠还是很可爱的。,,,,
TWL249716705,259,2,2021.10.30,黄龙风景名胜区门票+上行索道（成人票）,啊SD法国红酒快乐老奸巨猾刚发的撒,,,,
匿名用户,259,2,2021.10.04,黄龙风景名胜区门票+上行索道（成人票）,坑爹的景区，排队3小时，做缆车3分钟，然而到不了标志景点五彩池，还要徒近2小时才能到，这2小时就是步道，没啥风景，没来过的可以直接去九寨沟了,,,,
Liangyanping007,259,5,2021.10.07,黄龙风景名胜区门票+上行索道（成人票）,黄龙风景区很美，设施也很到位停车场大气方便，景区干净讲究，唯一的不良排队坐缆车太误事，竞然排了两个多小时才坐上,,,,
超越695,259,5,2021.07.31,黄龙风景名胜区门票（成人票）,黄龙到处都是风景，非常好看，强烈推荐，看完黄龙，感觉任何景色都不入眼了，我带着家人一起去的，到处都是风景。我们一路爬上山，走着下来的，黄龙堪称世界奇迹，比九寨沟更有游玩纪念意义，就是当天我们去下小雨有点冷。如果想去多穿点衣服最好,,,,
冰雪5024,259,4,2021.09.21,黄龙风景名胜区门票+上行索道票（成人票）,好评！景色非常不错！就是索道要走很远才到五彩池，差不多要走一个小时才能到五彩池，要是索道到五彩池的位置近一点就好了。还有就是上面连方便面都没有卖，只有一些饼干和奶茶这些买，建议要去耍的朋友多带点吃的上去。,,,,
神马玩意儿0,259,3,2021.10.08,黄龙风景名胜区门票+上行索道（成人票）,可能是希望太高了，与隔壁齐名的九寨沟不是一个档次，但价格差不多，差几块钱，都是水为主的景点建议直接去九寨沟。,,,,
匿名用户,259,5,2021.10.08,黄龙风景名胜区门票+上行索道（成人票）,好漂亮，上行坐锁道，然后走路，一路自驾黄龙和九寨沟,,,,
钟帅撒,259,5,2021.10.14,黄龙风景名胜区门票+上行索道（成人票）,真的太美啦,,,,
lMV160934119,259,2,2021.10.27,黄龙风景名胜区门票+上行索道（成人票）,挤安逸了，【环境】【交通】【项目】,,,,
shanshui小溪,259,5,2021.10.28,黄龙风景名胜区门票+上行索道（成人票）,喜欢旅行的尽早去玩，不喜欢旅行的更要首选。,,,,
匿名用户,259,5,2021.10.07,黄龙风景名胜区门票+上行索道（成人票）,黄龙的山美，谁更美，边走边看，处处有景，强力推荐,,,,
yyy茂,259,5,2021.08.18,黄龙风景名胜区门票+上行索道（成人票）,【环境】挺漂亮的，值得去，就是我们去的时候到了上面倾盆大雨，淋安逸了,,,,
ovT716538618,259,4,2021.07.14,黄龙风景名胜区门票+上行索道票（学生票）,购买学生票的要到售票处换票或拿身份证去注册一下，才能进园乘坐索道，索道到山顶约8分钟，下了索道要一直前行去五彩池，要配备雨具，经常回下小雨。景色还是不错的，个人觉得值得一看。,,,,
咋个肥事鸭,259,2,2021.10.15,黄龙风景名胜区门票+上行索道（成人票）,就一点小池塘对不起国庆近300的门票，个人不太不建议去玩，只去九寨沟就好了。,,,,
浪子辉lion,259,1,2021.10.06,黄龙风景名胜区门票+上行索道（成人票）,个人体验感很差，景点路线规划不合理，距离好远，高原反应太难受了。头疼恶心，下山就吐了。,,,,
匿名用户,259,4,2021.08.16,黄龙风景名胜区门票+上行索道票(成人票）,风景确实挺美的，景区环境干净卫生，每个观景点都能直观的观赏黄龙的风景，走在栈道上还随处可见到松鼠，太可爱了。,,,,
oNT282664004,259,4,2021.08.26,黄龙风景名胜区门票+上行索道票(成人票）,第二次去，还是觉得从下往上看比较美，但坐观光索道不会太累，如果是上行观光，下行索道就更棒了,,,,
蒋321654,259,4,2021.10.18,黄龙风景名胜区门票+上行索道（成人票）,如果天气给力的话，景色还会更好，总之还算可以,,,,
搜索57m点pw,259,5,2021.10.26,None,好想去啊！,,,,
金猪纳福林,259,5,2021.08.10,黄龙风景名胜区门票+上行索道票(成人票）,风景不错，热天凉快，气候宜人，就是有点缺氧的感觉，去的时候人少，游览很不错，我们走的慢，大概花了三四个小时，索道有点贵，80一位，其实走路也不错，坡度不是很陡。,,,,
gFn663060758,259,5,2021.10.26,黄龙风景名胜区门票+上行索道票（成人票）,太美了,,,,
牛在春天里,259,3,2021.10.03,黄龙风景名胜区门票+上行索道票（成人票）,索道排队两个多小时。到上面都没力气看风景了。五彩池一般般，争艳彩池和大门口的迎宾池比较值得推荐。,,,,
RfH317854789,259,4,2021.10.12,黄龙风景名胜区门票+上行索道票（青少年票）,海拔有点高，带孩子一定要有心里准备，上山索道没什么，下山的梯是很长很长的。,,,,
fGE108676115,259,3,2021.08.02,黄龙风景名胜区门票+上行索道（成人票）,黄龙太大了，坐索道车下车后，森林公园走路至五彩池蛮远。我觉得最好看的风景不是五彩池，而是下山的路上，山山水水都很美，随手一拍就是美景。下山的路途风景都太美了，建议不要在山上停留太久。对了，里面还有个瀑布，像金色瀑布。,,,,
不死之修罗,259,2,2021.10.08,黄龙风景名胜区门票+上行索道（成人票）,等了足足近2个小时才坐上索道，差点只能看个夜景黄龙,,,,
gcwgcw666,259,4,2021.10.15,黄龙风景名胜区门票+上行索道（成人票）,赶上下雨，雨中漫步。非常美,,,,
ydK896141985,259,5,2021.10.08,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,环境优美，服务态度好，设施齐全 ，好评！全5分,,,,
蛐蛐1808,259,3,2021.10.14,黄龙风景名胜区门票（成人票）, ,,,,
匿名用户,259,2,2021.10.05,黄龙风景名胜区门票+上行索道（成人票）,走的时候很多，最远的一个景点太远了都没有走过去，景点不集中，不太满意,,,,
钟帅撒,259,5,2021.10.14,黄龙风景名胜区门票+上行索道（成人票）,真的太美啦,,,,
xdt609253383,259,3,2021.09.08,黄龙风景名胜区门票+上行索道（成人票）,来的季节不对，不是雨季水少，看不到流水潺潺的美景！！！,,,,
qXi539388758,259,5,2021.10.12,黄龙风景名胜区门票+上行索道（成人票）,不用排队，很快,,,,
不一样的默契和,259,5,2021.10.06,黄龙风景名胜区门票（成人票）,设施齐全服务周到景色迷人巧夺天工！,,,,
哈de烦,259,5,2021.10.05,（法定节假日）黄龙风景名胜区（60岁-64岁老人票）,景区设施不错！景色不错！,,,,
Ihh186865786,259,3,2021.10.06,黄龙风景名胜区语音导览票（不含门票）,山上信号不好。所以总体也没啥用,,,,
wx402141407,259,2,2021.10.07,黄龙风景名胜区门票+上行索道（成人票）,一般般吧，没有想象中那么美。。,,,,
Pjc138125743,259,3,2021.10.04,黄龙风景名胜区门票+上行索道（成人票）,排队两小时，缆车5分钟！堵的心累,,,,
WQF366753325,259,5,2021.10.07,黄龙风景名胜区门票+上行索道（成人票）,风景非常棒！,,,,
WQF366753325,259,5,2021.10.07,黄龙风景名胜区门票+上行索道（成人票）,风景很棒！,,,,
bHg912916859,259,5,2021.10.10,黄龙风景名胜区门票+上行索道（成人票）,景色很美,,,,
肖兰602,259,4,2021.10.06,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,手机上买票非常方便,,,,
为你闪烁雨点,259,4,2021.08.07,黄龙风景名胜区门票+上行索道票（青少年票）,上山索道有景区公交免费送，停车场收费，景色真美，去了两次都没找到黄龙洞有点尴尬,,,,
暗香800,259,5,2021.08.26,黄龙风景名胜区门票+上行索道（成人票）,非常漂亮，【环境】【交通】都很满意,,,,
WOC639237991,259,1,2021.10.04,黄龙风景名胜区门票（成人票）,未收到凭证！十分生气家人都很生气！,,,,
dFE617213481,259,3,2021.10.02,黄龙风景名胜区门票+上行索道（成人票）,坐索道上去，走路下山不太累，五彩池和争滟池很美，不虚此行,,,,
Vue870101105,259,3,2021.10.05,黄龙风景名胜区门票+上行索道票（残疾人士）,设施齐全，卫生间到位，垃圾清理到位,,,,
Eic215400545,259,5,2021.10.07,黄龙风景名胜区门票+上行索道（成人票）,绝美，真的值得,,,,
满心欢喜的美团,259,3,2021.10.03,黄龙风景名胜区门票+上行索道票（现役军人）,就是景有点少，基本上都是一个景，只是在不同地方。,,,,
sprites333,259,5,2021.10.02,黄龙风景名胜区门票+上行索道（成人票）,很好，一家人一起出去玩，开心就好！,,,,
DtD257074284,259,4,2021.10.04,黄龙风景名胜区门票+上行索道+电子导览（成人票）,值得推荐！,,,,
won1739,259,4,2021.09.27,黄龙风景名胜区门票+上行索道（成人票）,索道价格80元，2-3分钟到达，真心贵！,,,,
流洋记,259,3,2021.08.04,黄龙风景名胜区门票+上行索道票(成人票）,票价偏贵，索道不是来回的，下行需要单独购买，不来后悔一辈子，来了后悔一阵子,,,,
hy2671,259,5,2021.06.30,黄龙风景名胜区门票+上行索道（成人票）,去黄龙建议做缆车上山，走路下山，黄龙海拔最高处大概3500左右，如果走着上山，将会十分痛苦，坐缆车。再走50分钟左右的平路，爬个半小时栈道楼梯就到最高处五彩池，然后一直下，身心都会觉得愉快。黄龙比九寨沟少很多人，值得去。,,,,
pxy452,259,5,2021.08.20,黄龙风景名胜区门票+上行索道（成人票）,名不虚传，风景很美，不能全程坐索道，风景在路上。,,,,
林梓涵涵,259,5,2021.09.23,黄龙风景名胜区门票+上行索道票(成人票）,还不错,,,,
匿名用户,259,1,2021.08.15,黄龙风景名胜区门票+上行索道（成人票）, ,,,,
MEE696733293,259,3,2021.09.11,黄龙风景名胜区门票（非法定节假日60岁以上老人票）,景点很美，就是太难爬山了，索道上不了五彩池，还要走几里路，觉得门票有点贵,,,,
DjG315276765,259,2,2021.06.25,黄龙风景名胜区门票+上行索道（成人票）,应该是季节问题，现在处于枯水期，没得什么看头，植物也是没得生机，建议大家不要坐缆车，有些坑，5分钟不到就是80块，（大家可以走上去，坐缆车下来40元，便宜一半哦）加上之前看了九寨沟，真心很失望。建议还是要到最美季节再来，不然大家会后悔的。,,,,
匿名用户,259,4,2021.09.04,黄龙风景名胜区门票+上行索道票(成人票）,很美，五彩池很漂亮,,,,
金猪纳福林,259,5,2021.08.10,黄龙风景名胜区门票+上行索道票（青少年票）,好耍，景色不错，但是门票以及索道费有点贵，能走的可以选择走路进，走路出，反正坡度也不是很陡，就是年龄大的，最好备上氧气瓶，有点缺氧的感觉，里面氧气瓶很贵，要40元一个，外面药店才10元。,,,,
幸福zzq,259,5,2021.07.31,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,景色太美了，无法用语言形容，大美黄龙,,,,
